nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Mid/Senior Backend Developer - PL/SQL,Warszawa,Nie,Brak danych,Brak danych
Azure Data Engineer,Warszawa,Tak,18 000,30 000
Programista PL/SQL,"Gdańsk, +2 locations",Tak,Brak danych,Brak danych
Database Developer (AWS),Warszawa,Nie,11 000,21 500
Programista MS SQL,"Gdańsk, +1 location",Tak,12 000,14 000
Data Engineer [Python],"Warszawa, +1 location",Tak,Brak danych,Brak danych
IT Analyst/Consultant for Avaloq Apply,Kraków,Nie,8 000,15 000
ODI Developer (Data Warehousing),Wrocław,Tak,18 480,23 520
Data Engineer,Wrocław,Tak,Brak danych,Brak danych
Senior Data Engineer,"Warszawa, +2 locations",Tak,23 000,26 000
BI Developer,Kraków,Nie,Brak danych,Brak danych
Data Engineer,Wrocław,Tak,22 000,28 500
Database Developer,Katowice,Nie,Brak danych,Brak danych
Machine Learning Engineer,Warszawa,Tak,Brak danych,Brak danych
Data Engineer,Wrocław,Tak,14 000,18 000
Data Analyst,Poznań,Nie,10 000,13 000
Data Engineer,Bydgoszcz,Tak,Brak danych,Brak danych
Data Engineer,"Kraków, +2 locations",Tak,19 000,28 000
Internship Program - Data Science,"Kraków, +1 location",Nie,,
Senior Data Engineer,Wrocław,Tak,23 520,26 880
Data Engineer (Azure),Kraków,Nie,Brak danych,Brak danych
BI Developer (MS BI Stack),Kraków,Tak,Brak danych,Brak danych
Data Scientist,Warszawa,Tak,Brak danych,Brak danych
Big Data Developer,"Kraków, +1 location",Tak,Brak danych,Brak danych
Data Consultant,Warszawa,Nie,9 000,14 000
Data Quality Engineer,"Katowice, +4 locations",Tak,12 000,15 000
Senior Data Scientist,"Katowice, +4 locations",Tak,15 000,20 000
Senior Database Engineer,Warszawa,Tak,20 000,30 000
Senior Big Data Developer,"Katowice, +4 locations",Tak,15 500,20 000
Senior Data Engineer,"Katowice, +4 locations",Tak,15 500,19 000
Junior Data Engineer (Java/Python),Warszawa,Tak,7 000,9 000
SQL Developer,"Wrocław, +1 location",Nie,Brak danych,Brak danych
Junior Data Coordinator,Poznań,Nie,Brak danych,Brak danych
Data Scientist,"Warszawa, +2 locations",Tak,20 000,28 000
Business Intelligence Lead,Warszawa,Nie,Brak danych,Brak danych
C# / .NET Developer,Warszawa,Tak,8 500,12 000
Data Engineer,"Kraków, +1 location",Nie,16 000,26 000
Data Scientist,Kraków,Nie,14 000,26 000
Blockchain Data Engineer,Boston,Tak,28 990,54 900
Data & Insight Manager,Warszawa,Nie,Brak danych,Brak danych
Specjalista ds. raportowania,Warszawa,Tak,7 000,9 000
Junior Bioinformatician,Kraków,Tak,5 000,7 000
Junior Marketing Data Engineer/Analityk,Warszawa,Tak,3 500,7 000
ETL Developer (Informatica),"Warszawa, +2 locations",Tak,19 000,25 500
Ekspert B + R ds. sztucznej inteligencji,"Bełchatów, +2 locations",Nie,Brak danych,Brak danych
Full Stack Engineer,Fully Remote,Tak,47 580,69 540
Senior Data Engineer,"Warszawa, +1 location",Nie,12 000,20 500
Trainee Data Engineer,Gdańsk,Nie,Brak danych,Brak danych
