nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Junior Java/Salesforce Developer,"Kraków, +2 locations",Tak,Brak danych,Brak danych
Full Stack Java Developer,"Wrocław, +4 locations",Tak,Brak danych,Brak danych
Java Developer (Mid/Senior),Warszawa,Tak,10 000,20 000
Fullstack Java / JavaScript Developer,Wrocław,Nie,7 500,15 000
Java Regular,Gdańsk,Tak,14 500,16 500
Java Developer,Warszawa,Nie,12 000,19 000
Technical Team Leader,Warszawa,Nie,30 000,38 000
Java Developer,Łódź,Tak,Brak danych,Brak danych
Senior Java Software Engineer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
Senior Java Software Engineer,"Kraków, +5 locations",Tak,22 000,29 000
Mid Java Developer,"Warszawa, +2 locations",Tak,16 260,23 230
Senior Java Engineer,"Warszawa, +2 locations",Tak,26 700,35 600
Java Integration Developer,Gdynia,Tak,Brak danych,Brak danych
Software Developer | Fullstack [Zendesk],Kraków,Tak,9 000,15 000
Senior Backend Developer,Gdańsk,Nie,20 000,28 000
Associate Software Developer,Kraków,Tak,7 000,10 500
Senior Software Engineer (Java),"Kraków, +2 locations",Nie,28 000,30 000
Java Developerzy ( Regular i Senior),Warszawa,Tak,18 501,26 880
Junior Java Developer,Wrocław,Tak,8 000,9 000
Senior Java Developer,Gdańsk,Nie,18 000,24 000
JAVA DEVELOPER,"Katowice, +2 locations",Tak,16 800,21 840
Java Developer,Warszawa,Nie,19 000,25 000
Junior Java Engineer,Bielsko-Biała,Tak,Brak danych,Brak danych
Fullstack Java Developer,"Warszawa, +1 location",Tak,18 000,28 000
Java Developer,"Warszawa, +1 location",Nie,12 800,20 800
Full-Stack Java Developer,Wrocław,Tak,19 000,27 000
Senior Java Developer,Bruksela,Nie,32 000,40 000
Senior Java Developer (project based),Kraków,Tak,23 520,28 560
Mid Java Engineer,"Kraków, +2 locations",Tak,10 080,16 800
Java Tech Lead,"Wrocław, +1 location",Tak,22 000,29 970
Mid Backend Developer (Java / Kotlin),Warszawa,Tak,16 500,26 000
DevOps Engineer,"Warszawa, +1 location",Tak,Brak danych,Brak danych
Java Developer (Mid/Senior),Warszawa,Nie,20 000,29 000
Test Automation Engineer,"Zielona Góra, +2 locations",Tak,15 600,25 600
Junior Java Developer,"Gdynia, +1 location",Nie,Brak danych,Brak danych
Młodszy Programista JAVA,Warszawa,Nie,5 000,7 500
Senior Java Engineer,Wrocław,Tak,20 000,30 000
Java Engineer with AWS,"Wrocław, +2 locations",Tak,13 000,17 000
Senior Software Engineer,Warszawa,Nie,25 000,50 000
Java Developer,Gdańsk,Nie,Brak danych,Brak danych
Java Developer,Warszawa,Tak,16 800,23 520
Junior Java Developer,Warszawa,Tak,5 000,10 000
Junior Java Developer,"Warszawa, +2 locations",Tak,10 080,13 440
Team Leader IT,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Software Developer,Kraków,Nie,10 000,17 000
Programista Java fullstack,Warszawa,Nie,8 000,16 000
Regular Java Developer,Warszawa,Tak,18 480,21 840
Java Developer,"Warszawa, +2 locations",Tak,15 120,20 160
Junior Software Engineer,Kraków,Tak,7 000,9 000
Regular/Senior Fullstack Java Developer,Warszawa,Tak,18 480,24 360
Java Architect,"Gliwice, +2 locations",Tak,20 409,31 889
Senior Java Developer,Warszawa,Tak,21 840,23 520
Full Stack Lead Engineer,"Warszawa, +1 location",Tak,24 000,28 000
Java Software Engineer (Full Stack),"Warszawa, +1 location",Tak,22 000,25 000
Senior Java Software Engineer,Wrocław,Nie,Brak danych,Brak danych
Mid/Senior Backend Java Developer,Wrocław,Tak,Brak danych,Brak danych
Java Developer,"Gliwice, +2 locations",Tak,12 064,18 850
Senior Java Developer,"Gliwice, +2 locations",Tak,16 893,26 395
Senior Java Developer,Rzeszów,Tak,Brak danych,Brak danych
Mid/ Senior Java Software Engineer,Warszawa,Nie,Brak danych,Brak danych
Java Developer (Mid/Senior),Gdańsk,Tak,13 000,25 000
Senior Java Developer,Sopot,Tak,Brak danych,Brak danych
Senior Software Engineer,"Kraków, +1 location",Tak,Brak danych,Brak danych
Software Engineer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Java Backend Developer,Kraków,Tak,13 500,20 000
Mid/ Senior Java Software Engineer,Warszawa,Nie,Brak danych,Brak danych
Java Developer (Mid/Senior),Gdańsk,Tak,13 000,25 000
Senior Java Developer,Sopot,Tak,Brak danych,Brak danych
Senior Software Engineer,"Kraków, +1 location",Tak,Brak danych,Brak danych
Software Engineer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Java Backend Developer,Kraków,Tak,13 500,20 000
Software Developer with Blockchain,"Warszawa, +2 locations",Tak,15 000,20 000
Manager - Software Engineering,Kraków,Nie,Brak danych,Brak danych
Java Software Engineer,Kraków,Nie,Brak danych,Brak danych
Software Architect - Senior Principal,Kraków,Nie,Brak danych,Brak danych
Mid Software Engineer Java/Kotlin,"Kraków, +2 locations",Tak,20 000,28 000
Tibco Developer,"Warszawa, +2 locations",Tak,33 600,42 000
Java Developer,"Warszawa, +1 location",Tak,12 000,18 000
Engineering Manager,Warszawa,Nie,32 000,38 000
Senior Java Developer,Warszawa,Tak,18 000,23 000
Java Developer,Warszawa,Nie,12 000,19 000
Senior Product Engineer (Java),"Wrocław, +2 locations",Tak,20 000,22 000
Junior Java Developer,Wrocław,Nie,7 200,9 700
Site Application Support Engineer,Gdańsk,Nie,Brak danych,Brak danych
Programista Java,"Zaścianki, +1 location",Nie,10 000,11 000
Senior Backend Developer (Java),"Warszawa, +18 locations",Tak,18 000,25 000
Java Developer,Warsaw,Nie,Brak danych,Brak danych
Java Developer,Katowice,Tak,19 000,21 000
Java Developer,"Warszawa, +2 locations",Tak,23 000,31 000
Java Software Engineer,Kraków,Tak,17 000,23 000
Java Mid Microservices Backend Developer,"Gliwice, +2 locations",Tak,7 000,13 000
Remote Java Developer (mid/senior),"Trójmiasto, +2 locations",Tak,19 000,26 000
Software Engineer,"Poznań, +1 location",Tak,9 000,15 000
Remote Java Developer (mid/senior),"Wrocław, +8 locations",Tak,19 000,26 000
Full Stack Java Developer,Kraków,Tak,10 000,18 000
Programista JAVA,Warszawa,Nie,7 000,11 000
Java Developer with AWS,Gdańsk,Tak,15 200,24 000
Back End Developer,"Wrocław, +1 location",Tak,18 000,21 500
Java / Cloud Developer (fully remote),Warszawa,Tak,20 000,38 000
Java Developer with React,Gdańsk,Tak,15 200,24 000
FullStack Developer (Java+Angular),Warszawa,Nie,5 500,9 000
Senior Java Developer,Warszawa,Tak,Brak danych,Brak danych
Backend Developer,Kraków,Tak,15 000,22 000
Senior Backend Developer,"Wrocław, +2 locations",Tak,24 000,28 500
Junior Software Engineer,"Wrocław, +1 location",Tak,Brak danych,Brak danych
Java AWS Engineer,"Kraków, +2 locations",Tak,16 000,22 100
Java Cloud Developer,"Kraków, +4 locations",Tak,16 000,22 100
Java Developer,Warszawa,Nie,12 000,15 000
Java Developer,Warszawa,Nie,5 000,9 000
Mid Java Developer,Warszawa,Tak,12 000,19 000
Java Developer,"Katowice, +1 location",Tak,26 880,30 240
Senior Java Developer,Warszawa,Nie,25 200,30 240
Lead/Architect Java,"Warszawa, +2 locations",Tak,30 000,35 000
Java Developer,Katowice,Tak,24 000,30 000
Senior Java Engineer,Warszawa,Tak,Brak danych,Brak danych
Senior Java Developer,Kraków,Tak,18 000,26 000
Application Programmer/Senior Developer,Warszawa,Nie,25 000,30 000
Fullstack Java Developer,Gdańsk,Tak,15 000,20 000
Backend Developer (Java),"Warszawa, +18 locations",Tak,12 000,18 000
Java Software Engineer,Gdańsk,Nie,Brak danych,Brak danych
Java Developer,Warszawa,Tak,18 000,25 000
Senior Java Backend Developer,Kraków,Tak,18 000,26 000
