nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Big Data Developer (praca zdalna),Warszawa,Tak,Brak danych,Brak danych
Operations Engineer/Developer (B2B),Warszawa,Nie,Brak danych,Brak danych
Cloud Operations Engineer/DevOps,Warszawa,Nie,Brak danych,Brak danych
Cloud Operations Engineer/DevOps (B2B),Warszawa,Nie,Brak danych,Brak danych
Cloud Engineer/DevOps (Azure),Warszawa,Tak,26 040,36 120
Operations Engineer/Developer,Warszawa,Nie,Brak danych,Brak danych
DevOps Manager,Poznań,Tak,Brak danych,Brak danych
DevOps Engineer,Poznań,Tak,12 000,18 000
Senior Site Reliability Engineer,Poznań,Tak,Brak danych,Brak danych
Site Reliability Engineer- Observability,Poznań,Tak,11 000,15 000
Senior Site Reliability Engineer (Azure),Gliwice,Tak,21 840,25 200
Senior Deployment Engineer,Gliwice,Tak,21 840,25 200
Senior Site Reliability Engineer (AWS),Gliwice,Tak,21 840,25 200
Senior DevOps Engineer,"Poznań, +2 locations",Tak,24 250,31 000
DevOps Engineers,"Warszawa, +2 locations",Tak,15 000,21 800
DevOps Engineer,"Wrocław, +1 location",Nie,11 500,22 000
DevOps Engineer,Kraków,Tak,22 000,30 000
Junior DevOps Engineer,Warszawa,Nie,Brak danych,Brak danych
Junior Cloud Specialist,Łódź,Tak,6 000,8 000
Inżynier DevOps (AWS),"Warszawa, +2 locations",Tak,16 800,25 200
Senior DevOps / AWS Engineer,"Wrocław, +2 locations",Tak,40 000,58 000
Jr / Mid DevOps Engineer,Kraków,Nie,6 000,12 000
Team Lead Cloud Infrastructure,Kraków,Tak,20 000,26 000
DevOps Engineer,"Poznań, +2 locations",Tak,15 000,24 500
DevOps Engineer,Warszawa,Tak,20 000,25 000
Senior AWS DevOps Engineer,Warszawa,Tak,31 920,35 280
Site Reliability Engineer (m/f/d),Warszawa,Tak,19 000,25 000
Senior DevOps Engineer,Warszawa,Tak,19 000,26 000
DevOps Engineer,Berlin,Tak,13 010,25 160
Site Reliability Engineer,Warszawa,Tak,20 000,26 000
Platform Engineer,Warszawa,Tak,19 850,26 464
DevOps Engineer,Warszawa,Tak,16 000,21 500
DevSecOps Engineer,"Wrocław, +2 locations",Tak,10 500,17 500
Inżynier DevOps (Python),Poznań,Tak,9 000,18 000
Site Reliability Engineer,Krakau,Tak,12 000,23 000
CI/CD Automation Engineer,"Warszawa, +2 locations",Tak,13 000,15 000
Site Reliability Engineer,Gdańsk,Tak,17 000,23 000
Linux Engineer/DevOps,"Wrocław, +4 locations",Tak,6 000,9 000
DevOps Engineer (AWS),Poznań,Tak,16 000,22 000
DevOps Engineer,Sopot,Tak,Brak danych,Brak danych
DevOps Engineer,Kraków,Nie,10 000,17 000
Senior DevOps Engineer,Kraków,Tak,27 000,33 000
DevOps Platform Engineer,Warszawa,Tak,Brak danych,Brak danych
AWS DevOps Engineer,"Gdańsk, +2 locations",Tak,16 000,25 000
Database Reliability Engineer (DBRE),Oslo,Tak,Brak danych,Brak danych
Azure DevOps Engineer,"Gdańsk, +2 locations",Tak,16 000,25 000
DevOps Engineer,Poznań,Tak,Brak danych,Brak danych
Infrastructure Specialist with Azure,Kraków,Nie,Brak danych,Brak danych
AWS DevOps Engineer,Warszawa,Tak,19 500,28 500
Mid/Senior DevOps Engineer,Warszawa,Nie,15 000,29 000
DevOps Engineer,Lublin,Tak,22 400,25 600
Junior DevOps,Warszawa,Nie,Brak danych,Brak danych
Junior Systems Engineer/DevOps,Gdańsk,Nie,Brak danych,Brak danych
DevOps (mid),"Warszawa, +2 locations",Tak,14 000,20 000
DevOps Engineer (Fully Remote),Atlanta,Tak,30 750,39 530
Devops Engineer,Warszawa,Tak,18 000,24 000
DevOps Engineer,Bydgoszcz,Tak,Brak danych,Brak danych
