,zarobki_min,zarobki_max,nazwa,miasto,zdalnie,zarobki_srednie
1526,14500.0,17500.0,Cloud Developer Fullstack (SAP BTP),"Białystok, Kielce, Łódź, Poznań, Zielona Góra",Tak,16000.0
1528,7200.0,14500.0,Senior Software Engineer,"Lublin, Rzeszów, Warszawa, Zielona Góra",Tak,10850.0
1529,19000.0,25400.0,Senior Java Developer,"Kraków, Wrocław",Tak,22200.0
1530,14500.0,17500.0,Cloud Developer Fullstack (SAP BTP),"Katowice, Kraków, Poznań, Warszawa, Wrocław",Tak,16000.0
1532,14500.0,17500.0,Cloud Developer Fullstack (SAP BTP),"Bielsko-Biała, Katowice, Kraków, Płock, Rzeszów",Tak,16000.0
1533,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Katowice, Kraków, Rzeszów",Tak,15350.0
1535,19000.0,25400.0,Senior Java Developer,"Katowice, Warszawa",Nie,22200.0
1540,19000.0,25400.0,Senior Java Developer,"Łódź, Warszawa",Nie,22200.0
1542,19000.0,25400.0,Senior Java Developer,"Katowice, Łódź",Tak,22200.0
1543,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Katowice, Kielce, Kraków",Tak,15350.0
1547,7200.0,14500.0,Senior Software Engineer,"Gdańsk, Kraków, Warszawa, Wrocław",Tak,10850.0
1554,19000.0,25400.0,Senior Java Developer,"Katowice, Warsaw",Nie,22200.0
1559,19000.0,25400.0,Senior Java Developer,"Krakow, Wrocław",Nie,22200.0
1560,7200.0,14500.0,Senior Software Engineer,"Gdańsk, Katowice, Krakow, Warsaw",Tak,10850.0
1561,19000.0,25400.0,Senior Java Developer,"Gdynia, Warsaw",Tak,22200.0
1562,19000.0,25400.0,Senior Java Developer,"Białystok, Lublin",Tak,22200.0
1563,19000.0,25400.0,Senior Java Developer,"Białystok, Lublin",Tak,22200.0
1564,19000.0,25400.0,Senior Java Developer,"Gdynia, Warsaw",Tak,22200.0
1565,19000.0,25400.0,Senior Java Developer,"Katowice, Łódź",Tak,22200.0
1567,19000.0,25400.0,Senior Java Developer,"Katowice, Łódź",Tak,22200.0
1569,19000.0,25400.0,Senior Java Developer,"Katowice, Łódź",Tak,22200.0
1576,19000.0,25400.0,Senior Java Developer,"Gdynia, Katowice",Tak,22200.0
1579,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,15350.0
1581,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,15350.0
