nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Program Stażowy – ATENDE STAR - TER,Warszawa,Nie,Brak danych,Brak danych
DevOps Support Engineer,Warszawa,Tak,10 000,13 000
Apptio Technical Support,Kraków,Tak,15 000,20 000
Specjalista IT ds. wsparcia aplikacji,Poznań,Nie,Brak danych,Brak danych
Junior System Admin/Support Specialist,Wrocław,Nie,4 500,6 500
Specjalista Helpdesk,Krotoszyn,Nie,Brak danych,Brak danych
Specjalista ds. IT (wsparcie użytkowników),Warszawa,Nie,Brak danych,Brak danych
Menedżer Serwisów IT,"Sopot, +2 locations",Nie,Brak danych,Brak danych
Technical Recruiter (Middle/Senior),Kraków,Tak,8 780,17 570
Support Specialist (L3),Kraków,Tak,16 000,21 000
Junior technical support specialist,Kraków,Nie,3 300,4 000
Specjalista ds. Wsparcia i Rozwoju,Warszawa,Nie,6 000,9 000
System Engineer,Kraków,Nie,Brak danych,Brak danych
Jira Service Desk Technical Specialist,Kraków,Tak,15 000,20 000
IT Service Desk Engineer,"Zielona Góra, +1 location",Nie,Brak danych,Brak danych
Senior Citrix Technical Analyst,Kraków,Tak,15 000,20 000
Project Support Specialist,Szczecin,Nie,Brak danych,Brak danych
IT Helpdesk Administrator,Kraków,Nie,5 000,8 000
Telecommunication Support Engineer,Kraków,Tak,13 000,16 000
ITSM Senior Technical Consultant,"Warszawa, +2 locations",Tak,12 000,18 000
Network Support Engineer (NetOps),Kraków,Tak,13 000,15 000
Site Reliability Engineer (SRE),Warszawa,Tak,12 000,18 000
Service Desk Analyst with German,Kraków,Tak,9 000,11 000
IT Resource Management Process Expert,Warszawa,Nie,Brak danych,Brak danych
Konsultant asysty technicznej,Kraków,Nie,Brak danych,Brak danych
Support Specialist,Łódź,Nie,4 001,8 000
Inżynier Systemowy (II linia wsparcia),Kraków,Nie,Brak danych,Brak danych
Customer Success Engineer,"Warszawa, +3 locations",Tak,13 500,18 000
Cloud Consultant,"Kraków, +3 locations",Tak,16 000,21 000
Junior IT Specialist,Łódź,Nie,4 000,6 000
IT Delivery Manager,Warszawa,Nie,Brak danych,Brak danych
Network & Support Engineer,"Toruń, +1 location",Nie,Brak danych,Brak danych
Technical Support Engineer,"Wrocław, +2 locations",Tak,6 000,10 000
Service Delivery Manager (EN/DE),"Wrocław, +2 locations",Tak,7 000,12 000
Engineer Team Manager,Gdynia,Nie,Brak danych,Brak danych
Integrations Software Engineer,"Tallinn, +2 locations",Tak,7 430,10 220
Specjalista ds. Wsparcia,Warszawa,Nie,4 000,6 000
Praktyki w Biurze Rozwoju Produktów,Warszawa,Nie,3 200,3 500
Praktyki w IT Service Delivery,Warszawa,Nie,3 200,3 500
IT Infrastructure Spec/Admin,Wrocław,Nie,8 000,12 000
DevOps Tools Support Specialist,Warszawa,Nie,Brak danych,Brak danych
SaaS Support Engineer,Kraków,Tak,Brak danych,Brak danych
Junior IT Supporter,"Gorzów Wielkopolski, +1 location",Tak,Brak danych,Brak danych
Senior Websphere Platform Engineer,Warszawa,Tak,Brak danych,Brak danych
Technik wsparcia IT,Stargard,Nie,Brak danych,Brak danych
Junior Client Services Analyst (FIS UP),Wrocław,Nie,Brak danych,Brak danych
Technical Writer,Kraków,Tak,10 000,14 000
Specjalista ds. Wsparcia Aplikacji,Warszawa,Tak,Brak danych,Brak danych
Helpdesk Specialist,Warszawa,Nie,Brak danych,Brak danych
Support Specialist,Wrocław,Tak,11 760,15 960
Senior Engineer IT Network Operations,Warszawa,Nie,Brak danych,Brak danych
Junior Application Support Engineer,Gliwice,Tak,4 500,6 500
IT Service Desk Engineer,Warszawa,Nie,9 000,11 000
Młodszy specjalista ds.serwisu aplikacji,"Gdańsk, +3 locations",Nie,5 500,6 500
IT Compliance Specialist,Katowice,Nie,7 000,11 000
Service Desk Administrator German,Gdańsk,Nie,8 000,9 000
Switching engineer,Warszawa,Tak,Brak danych,Brak danych
Junior Service Specialist,Łódź,Nie,4 400,6 500
Service Desk Consultant,Warszawa,Nie,10 080,11 760
Serwisant IT / IT Support,Sopot,Nie,Brak danych,Brak danych
IT Administrator,Wrocław,Nie,4 000,7 000
Application Support Analyst SQL,Wrocław,Nie,15 000,16 500
Junior Application Support Engineer,Gliwice,Tak,4 500,6 500
IT Service Desk Engineer,Warszawa,Nie,9 000,11 000
Młodszy specjalista ds.serwisu aplikacji,"Gdańsk, +3 locations",Nie,5 500,6 500
IT Compliance Specialist,Katowice,Nie,7 000,11 000
Service Desk Administrator German,Gdańsk,Nie,8 000,9 000
Switching engineer,Warszawa,Tak,Brak danych,Brak danych
Junior Service Specialist,Łódź,Nie,4 400,6 500
Service Desk Consultant,Warszawa,Nie,10 080,11 760
Serwisant IT / IT Support,Sopot,Nie,Brak danych,Brak danych
IT Administrator,Wrocław,Nie,4 000,7 000
Application Support Analyst SQL,Wrocław,Nie,15 000,16 500
Internship Program - Wdrożenia Shopify,Kraków,Nie,,
Technical Support Manager,Gdańsk,Tak,15 000,24 000
Technical Support Specialist I,Kraków,Nie,,
Ops engineer,Gdańsk,Nie,Brak danych,Brak danych
L2 Senior SMS Consultant,Wrocław,Tak,Brak danych,Brak danych
Principal Technical Solution Consultant,Wrocław,Tak,Brak danych,Brak danych
IT Support,Wrocław,Nie,4 500,6 000
Digital Collaboration&Productivity Lead,Warszawa,Nie,Brak danych,Brak danych
Endpoint Management Engineer,Warszawa,Nie,Brak danych,Brak danych
IT Customer Support with German,Warszawa,Nie,Brak danych,Brak danych
Support Engineer Salesforce,Gdynia,Tak,Brak danych,Brak danych
Atlassian CI/CD Engineer,Warszawa,Nie,Brak danych,Brak danych
Service Desk Engineer,Gdańsk,Nie,Brak danych,Brak danych
Application Support Specialist,Warszawa,Nie,9 000,11 000
Software Consultant,Sopot,Nie,Brak danych,Brak danych
IT Support Specialist,Wrocław,Nie,6 000,9 600
IT Specialist,"Gliwice, +2 locations",Nie,Brak danych,Brak danych
Tester oprogramowania/Informatyk,Wrocław,Nie,Brak danych,Brak danych
Internship Program - Service Desk,"Wrocław, +1 location",Nie,,
Junior SQL Support,Warszawa,Nie,7 000,10 000
IT Engineer,"Gdańsk, +4 locations",Nie,7 000,9 000
Konsultant Wdrożeniowy - Serwisant,"Zielonka, +11 locations",Nie,Brak danych,Brak danych
"Specjalista ds. utrzymania systemu teleinformatycznego (.NET, SQL)","Warszawa, +2 locations",Tak,Brak danych,Brak danych
IT Service Desk Specialist,Poznań,Nie,Brak danych,Brak danych
Kupiec IT/IT Procurement Specialist,"Warszawa, +2 locations",Tak,16 000,19 000
Support Specialist / Manual Tester,Warszawa,Nie,8 500,11 500
IT Helpdesk,Łódź,Nie,5 000,10 000
IT Supporter,Szczecin,Tak,Brak danych,Brak danych
Microsoft Dynamics 365 Support Engineer,Warszawa,Nie,13 000,18 000
Wdrożeniowiec/Konsultant Oprogramowania,Warszawa,Nie,7 000,11 000
Konsultant/Administrator Atlassian,Warszawa,Tak,13 000,18 000
IT Support Analyst,Wrocław,Nie,9 000,12 000
Service Delivery Coordinator,Katowice,Nie,4 800,7 700
Spec.ds. technicznej obsługi konferencji,Gdańsk,Nie,Brak danych,Brak danych
Junior IT Support Specialist,Warszawa,Nie,3 300,5 000
Pracownik Działu Supportu,Wrocław,Nie,4 000,6 000
