nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Specjalista ds. OSS,Warszawa,Nie,Brak danych,Brak danych
Regular System Administrator,Kraków,Tak,10 000,14 500
VMware Administrator,"Warszawa, +4 locations",Tak,Brak danych,Brak danych
Kierownik Infrastruktury IT,Warszawa,Nie,Brak danych,Brak danych
Administrator baz danych (MS SQL),Warszawa,Nie,Brak danych,Brak danych
Administrator Infrastruktury IT -Windows,Warszawa,Nie,Brak danych,Brak danych
Administrator IT,Warszawa,Nie,Brak danych,Brak danych
Administrator IT,Poznań,Nie,Brak danych,Brak danych
Administrator sieci,Kraków,Nie,Brak danych,Brak danych
Middleware Administrator- Lead,Marki,Nie,15 000,20 000
ITAdministrator VoIP/Systemadministrator,Warszawa,Tak,Brak danych,Brak danych
IT System Administrator,Gdańsk,Nie,Brak danych,Brak danych
Administrator Systemów IT (Linux),Wrocław,Nie,Brak danych,Brak danych
NetSuite ERP Administrator/Developer,"Warszawa, +2 locations",Tak,20 000,22 000
Administrator baz danych,"Sopot, +2 locations",Nie,Brak danych,Brak danych
Linux System Administrator / SysOps,Kraków,Tak,13 200,16 200
Młodszy Administrator / Administrator IT,"Wrocław, +3 locations",Tak,6 000,11 000
Microsoft Administrator / DevOps,Warszawa,Tak,14 000,19 500
Admin / DevOps with MS Azure,Warszawa,Tak,16 000,28 000
Support Engineer,"Zielona Góra, +2 locations",Tak,5 000,10 000
IT Administrator,Wrocław,Nie,Brak danych,Brak danych
Technical Service Consultant,"Warszawa, +1 location",Tak,5 000,10 000
Administrator IT,Poznań,Tak,Brak danych,Brak danych
Sharepoint Administrator (Mid/Senior),Warszawa,Nie,Brak danych,Brak danych
Platform Engineer,Kraków,Tak,Brak danych,Brak danych
Administrator Baz Danych,Wrocław,Tak,Brak danych,Brak danych
IT Systems Integration Specialist,"Warszawa, +1 location",Nie,Brak danych,Brak danych
Linux Administrator,Wrocław,Tak,Brak danych,Brak danych
Specjalista ds. wdrożeń systemów IT,Warszawa,Nie,15 000,18 000
Linux Administrator,Gdańsk,Tak,8 000,12 000
Administrator Systemów Linux,Poznań,Nie,Brak danych,Brak danych
Database Administrator (MSSQL),"Wrocław, +2 locations",Tak,15 120,20 160
Administrator Zarządzania Core 5G/EPC,Warszawa,Nie,9 000,13 000
Magik od systemów IT,"Warszawa, +4 locations",Tak,5 000,7 000
Administrator IT / Lider Zespołu,Rzeszów,Nie,Brak danych,Brak danych
Linux Administrator,Gdańsk,Tak,8 000,12 000
Administrator Systemów Linux,Poznań,Nie,Brak danych,Brak danych
Database Administrator (MSSQL),"Wrocław, +2 locations",Tak,15 120,20 160
Administrator Zarządzania Core 5G/EPC,Warszawa,Nie,9 000,13 000
Magik od systemów IT,"Warszawa, +4 locations",Tak,5 000,7 000
Administrator IT / Lider Zespołu,Rzeszów,Nie,Brak danych,Brak danych
Konsultant ds. wdrożeń systemów,Rzeszów,Nie,Brak danych,Brak danych
Jira Specialist,Warszawa,Tak,13 000,19 000
Linux System Administrator / SysOps,"Łódź, +17 locations",Tak,13 200,16 200
Administrator IT,Rzeszów,Nie,Brak danych,Brak danych
Starszy Administrator Infrastruktury Sieciowej IT,Warszawa,Tak,Brak danych,Brak danych
Starszy Administrator Infrastruktury Systemów Wspierających,Warszawa,Tak,Brak danych,Brak danych
Junior Administrator,Warszawa,Nie,5 000,9 000
Active Directory Administrator,"Katowice, +7 locations",Tak,Brak danych,Brak danych
Middleware Specialist – various projects,"Warszawa, +7 locations",Tak,Brak danych,Brak danych
Wintel/VMware Administrator,"Wrocław, +7 locations",Tak,Brak danych,Brak danych
Network Specialist,Warszawa,Nie,Brak danych,Brak danych
Application Support Consultant,Warszawa,Nie,Brak danych,Brak danych
