nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Backend Developer,"Warszawa, +1 location",Tak,15 000,19 000
Angular Developer,"Warszawa, +2 locations",Tak,18 480,23 520
React Software Engineer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Frontend Developer,"Warszawa, +1 location",Nie,22 000,26 000
Senior Frontend Developer (React.js),"Wrocław, +4 locations",Tak,16 000,23 000
Frontend Developer (Mid/Senior),Warszawa,Tak,18 000,29 000
JavaScript Full Stack Developer,"Warszawa, +2 locations",Tak,18 000,22 000
Mid/Senior Angular Developer,Warszawa,Nie,16 000,23 000
Frontend Engineer,Wrocław,Tak,14 000,24 000
Senior Mobile Developer (Flutter),Warszawa,Tak,16 000,21 000
JavaScript Developer,"Katowice, +3 locations",Tak,9 000,13 500
Engineer Manager/ Team Leader,Gdańsk,Tak,Brak danych,Brak danych
Fullstack JavaScript Developer,Katowice,Tak,16 000,22 000
JavaScript / TypeScript Engineer (React),Warszawa,Nie,19 500,25 700
JS Developer,"Kraków, +2 locations",Tak,9 000,13 000
Senior Frontend Developer,Warszawa,Tak,19 000,23 000
Senior Full Stack Developer,Warszawa,Tak,19 000,23 000
Front-end Developer (Angular),Warszawa,Tak,18 000,25 000
Frontend Developer Vue.js,München,Tak,15 000,20 000
"Senior Software Engineer, Frontend",Kraków,Tak,18 000,23 000
Senior Frontend Developer,Szczecin,Nie,17 000,21 000
Frontend Developer (Angular),Warszawa,Nie,Brak danych,Brak danych
Solidity Developer,"Wrocław, +2 locations",Tak,23 000,30 000
Senior Frontend Developer,Warszawa,Tak,19 000,23 000
Senior Full Stack Developer,Warszawa,Tak,19 000,23 000
Front-end Developer (Angular),Warszawa,Tak,18 000,25 000
Frontend Developer Vue.js,München,Tak,15 000,20 000
"Senior Software Engineer, Frontend",Kraków,Tak,18 000,23 000
Senior Frontend Developer,Szczecin,Nie,17 000,21 000
Frontend Developer (Angular),Warszawa,Nie,Brak danych,Brak danych
Solidity Developer,"Wrocław, +2 locations",Tak,23 000,30 000
Front-end Developer (Angular),"Kraków, +2 locations",Tak,20 000,25 000
Manager Software Engineering,Kraków,Nie,Brak danych,Brak danych
Middle Vue.js Developer,"Kraków, +2 locations",Tak,12 000,20 000
Senior Node.js Engineer,"Warszawa, +5 locations",Tak,24 160,32 940
Vue.js Developer,Gliwice,Tak,21 840,25 200
MarTech Lab,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Full Stack Engineer,New York,Tak,Brak danych,Brak danych
Node.js Tech Leader,"Kraków, +2 locations",Tak,15 000,25 000
Frontend Developer (ReactJS),"Gdańsk, +5 locations",Tak,Brak danych,Brak danych
Frontend Engineer,"Kraków, +2 locations",Tak,18 000,28 000
Senior React Developer,Wrocław,Tak,22 000,25 000
Senior/Principal Node.js Backend Developer (100% remote),"Wrocław, +2 locations",Tak,15 000,27 000
Frontend Developer,"Wrocław, +2 locations",Tak,7 000,12 000
Mid/Senior Frontend Developer,"Kraków, +2 locations",Tak,12 000,22 000
Creative Frontend Developer,Warszawa,Nie,9 000,18 000
Front-end Developer,"Warszawa, +3 locations",Tak,9 000,18 000
Backend JavaScript Developer,Gent,Tak,19 350,27 080
Full Stack Web Developer,Ottawa,Tak,7 910,15 370
Frontend Developer (React),Gdańsk,Tak,21 000,25 200
Senior Frontend Engineer,"Berlin, +3 locations",Tak,25 070,34 200
Senior Node.js Developer,Wrocław,Tak,22 000,27 000
Software Engineer with AWS,Wrocław,Nie,5 000,7 000
Node.js Developer,"Gliwice, +2 locations",Tak,9 500,16 000
React Developer,Warszawa,Tak,12 000,20 000
Senior Node.js Developer,"Kraków, +2 locations",Tak,12 500,20 000
Senior Node.js Developer,"Gliwice, +2 locations",Tak,17 000,26 000
Frontend Developer,Gdańsk,Nie,Brak danych,Brak danych
