nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Python Developer,"Warszawa, +2 locations",Tak,8 000,15 000
Senior Quality Engineer,"Brno, +6 locations",Tak,18 580,29 260
Python Developer,Warszawa,Nie,10 000,18 000
Python/Linux Backend Developer,Warszawa,Tak,20 000,26 000
Senior Python Developer  Bankier.pl,Warszawa,Tak,15 000,20 000
Junior Supply Chain Data Engineer,Poznań,Tak,10 000,15 000
Regular Python Developer (remote / mix),"Szczecin, +2 locations",Tak,11 448,16 997
Senior Python Developer,"Warszawa, +2 locations",Tak,21 234,26 789
Performance Engineering (Internship),Kraków,Nie,,
Python Developer,Szczecin,Tak,16 000,23 000
Machine Learning Engineer,Gdańsk,Tak,Brak danych,Brak danych
Sr. Back End Engineer,"Warszawa, +4 locations",Tak,28 550,39 530
Senior Backend Engineer (Python),"Barcelona, +6 locations",Tak,18 580,34 840
Software Engineer in Machine Learing,Kraków,Tak,12 000,18 000
Software Engineer (Python),Poznań,Tak,12 000,17 000
Python Developer z Chemią / Biologią,"Warszawa, +1 location",Tak,11 000,20 000
Sr Python Engineer - Data Engineering,Poznań,Tak,17 000,21 000
Software Engineer with Kubernetes,Warszawa,Tak,12 000,18 000
Python Developer with Blockchain,"Wrocław, +1 location",Tak,15 000,20 000
Senior Supply Chain Data Engineer,Poznań,Tak,15 000,19 000
Python Developer (Big Data),Warszawa,Tak,Brak danych,Brak danych
Big Data Developer (Spark),Warszawa,Tak,10 000,15 000
Developer Programmer,Sydney,Tak,18 890,24 160
Junior Software Engineer,Bielsko-Biała,Nie,Brak danych,Brak danych
Production Tools Engineer,Warszawa,Nie,8 000,12 000
Junior Python Developer,"Warszawa, +1 location",Tak,7 000,12 000
Senior Python Engineer,Warszawa,Nie,Brak danych,Brak danych
Staff / Principal Software Engineer,"Warszawa, +2 locations",Tak,35 000,45 000
Cloud Engineer,"Warszawa, +4 locations",Tak,Brak danych,Brak danych
Python Integration Engineer,"Warszawa, +4 locations",Tak,Brak danych,Brak danych
Mid / Senior Software Engineer,"Warszawa, +2 locations",Tak,22 000,35 000
QA Engineer,Warszawa,Nie,7 000,14 000
Analityk danych,Niemcz,Tak,9 500,11 000
Software Engineer - Python,"Wrocław, +1 location",Tak,15 790,25 080
Senior Python Developer,London,Tak,22 790,34 200
Python developer,"Kraków, +2 locations",Tak,17 000,28 000
Data Scientist,Warszawa,Tak,16 000,24 000
Senior Fullstack Engineer,Kraków,Tak,17 000,29 000
Mid/Senior Fullstack Engineer,Kraków,Tak,17 000,24 500
Data Scientist,Wrocław,Nie,14 000,26 000
Backend Engineer,Kraków,Tak,17 000,24 500
C/Python Developer,Poznań,Nie,6 000,11 500
Docker developer,Poznań,Nie,6 000,11 500
Lead Python Quant Engineer (VP),Wrocław,Nie,21 500,32 000
Python/Django Developer,"Warszawa, +3 locations",Nie,Brak danych,Brak danych
Senior AWS Cloud Engineer,Warszawa,Tak,17 000,23 500
AWS Cloud Tech Lead,Warszawa,Tak,21 000,27 000
AWS Cloud Engineer,Warszawa,Tak,9 000,15 000
Python Software Developer,Łódź,Tak,15 000,18 000
Python Software Developer,Łódź,Tak,15 000,18 000
Data Scientist (Computer Vision),Warszawa,Tak,12 000,18 000
Lead Python Developer,"Kraków, +4 locations",Tak,15 500,21 000
Data Scientist (NLP),Warszawa,Tak,12 000,18 000
"Software Engineer, Backend",San Francisco,Tak,26 350,52 710
Senior Data Scientist - Betting odds,"Kraków, +2 locations",Tak,25 000,36 000
Backend AWS Engineer,"Kraków, +2 locations",Tak,14 500,22 000
Programista Python,Ostrów Wielkopolski,Nie,5 000,8 000
Backend Python Developer,Warsaw,Tak,9 000,16 000
Python Developer,"Warszawa, +4 locations",Tak,13 500,18 500
Python Developer,Warszawa,Nie,14 000,16 500
Python Engineer (Incubation Track),"Warszawa, +2 locations",Tak,19 740,29 590
Python Cloud Developer,"Kraków, +1 location",Tak,17 400,23 900
Data Science Engineer,"Warszawa, +4 locations",Tak,10 000,20 000
Business Intelligence Data Engineer,Warszawa,Nie,18 000,25 000
Intern Python Developer,Kraków,Nie,,
DevOps Engineer,Wrocław,Nie,Brak danych,Brak danych
Senior Python Developer,Poznań,Tak,15 500,22 000
Sr. Data Scientist,San Francisco,Tak,Brak danych,Brak danych
Senior Full Stack Engineer,San Francisco,Tak,Brak danych,Brak danych
Software Engineer,Katowice,Tak,Brak danych,Brak danych
Mid Python Developer,Gliwice,Tak,8 000,16 000
Senior Python (Flask) Developer,Kraków,Tak,22 000,28 000
Python Developer,Warszawa,Tak,13 000,22 000
Senior Software Engineer - Ads (Remote),Mountain View,Tak,Brak danych,Brak danych
Machine Learning Engineer (Remote),Mountain View,Tak,Brak danych,Brak danych
Infrastructure Software Engineer,Mountain View,Tak,Brak danych,Brak danych
Senior Backend Engineer,"San Francisco, +1 location",Tak,47 580,73 200
Senior Python Developer,"Kraków, +1 location",Nie,20 000,28 000
Lead Core Python Engineer,Warszawa,Tak,24 000,30 000
Python Developer,Kraków,Nie,14 000,19 000
Full Stack Software Engineer,New York,Tak,Brak danych,Brak danych
Junior Full Stack Developer,Warszawa,Tak,4 000,5 000
Senior Software Engineer,München,Tak,21 290,30 940
Data Scientist,Wrocław,Nie,16 000,28 000
Full Stack Machine Learning Developer,Warszawa,Nie,Brak danych,Brak danych
Python Django Developer,Poznań,Tak,10 000,18 000
AI Engineer,Warszawa,Tak,10 000,20 000
Python Developer with SQL,Warszawa,Nie,18 000,20 500
Senior Python Developer,Warszawa,Tak,20 000,28 000
